v1,v2
ham,"Hi, how are you?"
spam,"Win money now!"
ham,"Are we meeting today?"
spam,"Free offer, click here!"
ham,"Let's go to college"
spam,"Congratulations, you won a prize!"
ham,"Can we have lunch together?"
spam,"You have won a lottery!"
ham,"Please call me later"
spam,"Claim your free gift now!"
ham,"See you at 5pm"
spam,"Get your free tickets today!"
ham,"Meeting postponed to 3pm"
spam,"Lowest price for your loan approved!"
ham,"Can you send me the notes?"
spam,"Exclusive offer, limited time!"
ham,"Happy birthday! Have a great day"
spam,"Get cheap medicines online!"
ham,"Are you coming to the meeting?"
spam,"Win an iPhone by clicking here!"
ham,"Thanks for your help yesterday"
spam,"You are selected for cash prize!"
ham,"Please review the document"
spam,"Free subscription, click here!"
ham,"Call me when you are free"
spam,"Get rich quickly with this plan!"
ham,"Did you finish your homework?"
spam,"You won $1000, claim now!"
ham,"Can you join the call today?"
spam,"Free entry in contest, act now!"
ham,"Lunch at 1pm works for me"
spam,"Get free coupons for shopping!"
ham,"Can we meet tomorrow morning?"
spam,"Limited time offer, hurry!"
ham,"Please check your email"
spam,"Claim your free reward now!"
ham,"Are you available for meeting?"
spam,"Your account has been selected!"
ham,"Thanks for the update"
spam,"Win a free vacation now!"
ham,"Let's catch up later"
spam,"Get your free iPhone today!"
ham,"Send me the report by today"
spam,"Free lottery for subscribers!"
ham,"Can we talk tomorrow?"
spam,"You are eligible for cash bonus!"
ham,"Looking forward to the event"
spam,"Act fast to get your gift!"
ham,"Please send me the details"
spam,"Congratulations! You won a prize!"
